text,label
castle rank obtained,0
palace status granted,0
kingdom tier reached,0
empire division placed,0
dynasty league joined,0
legacy tier achieved,0
heritage rank obtained,0
tradition status granted,0
culture tier reached,0
civilization division placed,0
society league joined,0
community tier achieved,0
network rank obtained,0
connection status granted,0
relationship tier reached,0
partnership division placed,0
alliance league joined,0
coalition tier achieved,0
federation rank obtained,0
union status granted,0
unity tier reached,0
harmony division placed,0
peace league joined,0
serenity tier achieved,0
tranquility rank obtained,0
calmness status granted,0
stillness tier reached,0
silence division placed,0
quiet league joined,0
hush tier achieved,0
mute rank obtained,0
pause status granted,0
break tier reached,0
rest division placed,0
relaxation league joined,0
recovery tier achieved,0
healing rank obtained,0
restoration status granted,0
renewal tier reached,0
rebirth division placed,0
renaissance league joined,0
revival tier achieved,0
resurgence rank obtained,0
comeback status granted,0
return tier reached,0
arrival division placed,0
welcome league joined,0
greeting tier achieved,0
hello rank obtained,0
hi status granted,0
hey tier reached,0
yo division placed,0
sup league joined,0
waddup tier achieved,0
hola rank obtained,0
ciao status granted,0
bonjour tier reached,0
guten tag division placed,0
konnichiwa league joined,0
annyeong tier achieved,0
sawatdee rank obtained,0
selamat status granted,0
salam tier reached,0
halo division placed,0
hai league joined,0
hei tier achieved,0
he rank obtained,0
discord roblox indo noob semua,1
telegram grup roblox toxic,1
whatsapp grup gaming sampah,1
instagram roblox cringe,1
tiktok roblox content bego,1
facebook grup roblox drama,1
twitter roblox toxic reply,1
youtube roblox misleading,1
twitch stream roblox boring,1
kick streamer roblox annoying,1
server private elitist,1
vip server waste money,1
gamepass scam roblox,1
developer product overpriced,1
in game purchase ripoff,1
limited item fomo,1
event item impossible,1
seasonal reward unfair,1
badge achievement meaningless,1
leaderboard position rigged,1
total playtime wasted,1
daily login chore,1
weekly challenge tedious,1
monthly goals unrealistic,1
annual milestone pointless,1
lifetime achievement fake,1
prestige level grind hell,1
master rank gatekept,1
expert status gatekept,1
professional tier pay to win,1
elite division toxic,1
champion league sweaty,1
legend tier tryhards,1
mythic rank no lifers,1
immortal status basement dwellers,1
godlike tier nerds,1
supreme division geeks,1
ultimate league losers,1
absolute tier failures,1
infinite rank bots,1
tai aja lo main roblox,1
kontol skill lo roblox,1
memek main cupu lo,1
ngentot lo main game,1
pepek skill lo anjing,1
itil main lo tolol,1
jembut game sense lo,1
kentut strategy lo,1
berak taktik lo,1
kencing gameplay lo,1
muntah aim lo,1
ingus reflex lo,1
liur decision lo,1
keringat effort lo sia sia,1
air mata curhat lo,1
darah usaha lo gagal,1
nanah progress lo,1
koreng skill lo,1
kurap kemampuan lo,1
kudis bakat lo,1
panu talent lo,1
kadas potensi lo,1
kutu game sense lo,1
cacing otak lo,1
kuman pikiran lo,1
bakteri ide lo,1
virus strategy lo,1
parasit existence lo,1
benalu presence lo,1
jamur aura lo,1
lumut vibe lo,1
ganggang energy lo,1
alga charisma lo,1
rumput laut appeal lo,1
eceng gondok attraction lo,1
teratai magnetism lo,1
bunga bangkai personality lo,1
rafflesia attitude lo,1
kantong semar behavior lo,1
venus flytrap mentality lo,1
sundew mindset lo,1
pitcher plant thinking lo,1
cobra lily intellect lo,1
trigger plant brain lo,1
waterwheel plant mind lo,1
bladderwort consciousness lo,1
butterwort awareness lo,1
rainbow plant perception lo,1
dewy pine cognition lo,1
corkscrew plant reasoning lo,1
marimo reasoning lo,1
moss ball logic lo,1
aquatic fern wisdom lo,1
water lettuce knowledge lo,1
duckweed learning lo,1
water hyacinth education lo,1
water lily schooling lo,1
lotus training lo,1
papyrus coaching lo,1
cattail mentoring lo,1
reed tutoring lo,1
bulrush teaching lo,1
sedge guiding lo,1
rush leading lo,1
horsetail directing lo,1
fern managing lo,1
bracken supervising lo,1
club moss overseeing lo,1
spike moss monitoring lo,1
quillwort watching lo,1
whisk fern observing lo,1
psilotum examining lo,1
tmesipteris inspecting lo,1
ophioglossum reviewing lo,1
botrychium analyzing lo,1
moonwort evaluating lo,1
grape fern assessing lo,1
adder tongue judging lo,1
royal fern criticizing lo,1
cinnamon fern condemning lo,1
interrupted fern denouncing lo,1
ostrich fern berating lo,1
sensitive fern scolding lo,1
hay scented fern reprimanding lo,1
lady fern chastising lo,1
maidenhair fern admonishing lo,1
christmas fern rebuking lo,1
sword fern reproaching lo,1
holly fern disapproving lo,1
tassel fern objecting lo,1
staghorn fern protesting lo,1
elkhorn fern complaining lo,1
birdsnest fern whining lo,1
rabbits foot fern moaning lo,1
squirrel foot fern groaning lo,1
bears paw fern griping lo,1
kangaroo fern grumbling lo,1
hares foot fern muttering lo,1
ball fern mumbling lo,1
walking fern babbling lo,1
